"","Date_reported","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths"
"257064","2020-01-26",0,5,0,0
"257065","2020-01-27",7,12,0,0
"257066","2020-01-28",2,14,0,0
"257067","2020-01-29",4,18,0,0
"257068","2020-01-30",0,18,0,0
"257069","2020-01-31",5,23,0,0
"257070","2020-02-01",0,19,0,0
"257071","2020-02-02",4,23,0,0
"257072","2020-02-03",0,23,0,0
"257073","2020-02-04",6,29,0,0
"257074","2020-02-05",0,25,0,0
"257075","2020-02-06",4,29,0,0
"257076","2020-02-07",0,29,0,0
"257077","2020-02-08",3,32,0,0
"257078","2020-02-09",0,29,0,0
"257079","2020-02-10",0,29,0,0
"257080","2020-02-11",4,33,0,0
"257081","2020-02-12",4,37,0,0
"257082","2020-02-13",0,37,0,0
"257083","2020-02-14",0,37,0,0
"257084","2020-02-15",0,34,0,0
"257085","2020-02-16",4,38,0,0
"257086","2020-02-17",0,35,0,0
"257087","2020-02-18",4,39,0,0
"257088","2020-02-19",0,39,0,0
"257089","2020-02-20",0,39,0,0
"257090","2020-02-21",0,39,0,0
"257091","2020-02-22",0,39,0,0
"257092","2020-02-23",0,39,0,0
"257093","2020-02-24",0,39,0,0
"257094","2020-02-25",0,37,0,0
"257095","2020-02-26",3,40,0,0
"257096","2020-02-27",4,44,0,0
"257097","2020-02-28",0,41,0,0
"257098","2020-02-29",1,42,0,0
"257099","2020-03-01",4,46,1,1
"257100","2020-03-02",0,43,0,1
"257101","2020-03-03",4,47,0,1
"257102","2020-03-04",0,47,0,1
"257103","2020-03-05",0,47,0,1
"257104","2020-03-06",1,48,0,1
"257105","2020-03-07",2,50,0,1
"257106","2020-03-08",4,54,0,1
"257107","2020-03-09",0,54,0,1
"257108","2020-03-10",0,53,0,1
"257109","2020-03-11",6,59,0,1
"257110","2020-03-12",11,70,0,1
"257111","2020-03-13",5,75,0,1
"257112","2020-03-14",7,82,0,1
"257113","2020-03-15",32,114,0,1
"257114","2020-03-16",33,147,0,1
"257115","2020-03-17",30,177,0,1
"257116","2020-03-18",35,212,0,1
"257117","2020-03-19",60,272,0,1
"257118","2020-03-20",50,322,0,1
"257119","2020-03-21",89,411,0,1
"257120","2020-03-22",188,599,0,1
"257121","2020-03-23",122,721,0,1
"257122","2020-03-24",106,827,3,4
"257123","2020-03-25",107,934,0,4
"257124","2020-03-26",111,1045,0,4
"257125","2020-03-27",91,1136,1,5
"257126","2020-03-28",109,1245,1,6
"257127","2020-03-29",143,1388,1,7
"257128","2020-03-30",136,1524,2,9
"257129","2020-03-31",127,1651,1,10
"257130","2020-04-01",120,1771,2,12
"257131","2020-04-02",104,1875,3,15
"257132","2020-04-03",103,1978,4,19
"257133","2020-04-04",89,2067,1,20
"257134","2020-04-05",102,2169,3,23
"257135","2020-04-06",51,2220,3,26
"257136","2020-04-07",38,2258,1,27
"257137","2020-04-08",111,2369,3,30
"257138","2020-04-09",54,2423,2,32
"257139","2020-04-10",50,2473,1,33
"257140","2020-04-11",45,2518,2,35
"257141","2020-04-12",33,2551,3,38
"257142","2020-04-13",28,2579,2,40
"257143","2020-04-14",34,2613,1,41
"257144","2020-04-15",30,2643,2,43
"257145","2020-04-16",29,2672,3,46
"257146","2020-04-17",28,2700,1,47
"257147","2020-04-18",33,2733,0,47
"257148","2020-04-19",32,2765,0,47
"257149","2020-04-20",27,2792,0,47
"257150","2020-04-21",19,2811,1,48
"257151","2020-04-22",15,2826,1,49
"257152","2020-04-23",13,2839,1,50
"257153","2020-04-24",15,2854,0,50
"257154","2020-04-25",53,2907,1,51
"257155","2020-04-26",15,2922,0,51
"257156","2020-04-27",9,2931,1,52
"257157","2020-04-28",7,2938,2,54
"257158","2020-04-29",9,2947,0,54
"257159","2020-04-30",7,2954,0,54
"257160","2020-05-01",6,2960,0,54
"257161","2020-05-02",6,2966,0,54
"257162","2020-05-03",3,2969,0,54
"257163","2020-05-04",18,2987,0,54
"257164","2020-05-05",1,2988,0,54
"257165","2020-05-06",1,2989,1,55
"257166","2020-05-07",3,2992,0,55
"257167","2020-05-08",8,3000,0,55
"257168","2020-05-09",4,3004,1,56
"257169","2020-05-10",5,3009,0,56
"257170","2020-05-11",6,3015,0,56
"257171","2020-05-12",2,3017,0,56
"257172","2020-05-13",0,3017,0,56
"257173","2020-05-14",1,3018,0,56
"257174","2020-05-15",7,3025,0,56
"257175","2020-05-16",0,3025,0,56
"257176","2020-05-17",3,3028,0,56
"257177","2020-05-18",3,3031,0,56
"257178","2020-05-19",2,3033,0,56
"257179","2020-05-20",1,3034,0,56
"257180","2020-05-21",3,3037,0,56
"257181","2020-05-22",0,3037,0,56
"257182","2020-05-23",3,3040,0,56
"257183","2020-05-24",0,3040,0,56
"257184","2020-05-25",2,3042,1,57
"257185","2020-05-26",3,3045,0,57
"257186","2020-05-27",9,3054,0,57
"257187","2020-05-28",11,3065,0,57
"257188","2020-05-29",11,3076,0,57
"257189","2020-05-30",1,3077,0,57
"257190","2020-05-31",4,3081,0,57
"257191","2020-06-01",1,3082,0,57
"257192","2020-06-02",1,3083,1,58
"257193","2020-06-03",1,3084,0,58
"257194","2020-06-04",17,3101,0,58
"257195","2020-06-05",1,3102,0,58
"257196","2020-06-06",2,3104,0,58
"257197","2020-06-07",8,3112,0,58
"257198","2020-06-08",7,3119,0,58
"257199","2020-06-09",2,3121,0,58
"257200","2020-06-10",4,3125,0,58
"257201","2020-06-11",0,3125,0,58
"257202","2020-06-12",4,3129,0,58
"257203","2020-06-13",5,3134,0,58
"257204","2020-06-14",1,3135,0,58
"257205","2020-06-15",0,3135,0,58
"257206","2020-06-16",0,3135,0,58
"257207","2020-06-17",0,3135,0,58
"257208","2020-06-18",6,3141,0,58
"257209","2020-06-19",5,3146,0,58
"257210","2020-06-20",1,3147,0,58
"257211","2020-06-21",1,3148,0,58
"257212","2020-06-22",3,3151,0,58
"257213","2020-06-23",5,3156,0,58
"257214","2020-06-24",1,3157,0,58
"257215","2020-06-25",1,3158,0,58
"257216","2020-06-26",4,3162,0,58
"257217","2020-06-27",0,3162,0,58
"257218","2020-06-28",0,3162,0,58
"257219","2020-06-29",7,3169,0,58
"257220","2020-06-30",2,3171,0,58
"257221","2020-07-01",2,3173,0,58
"257222","2020-07-02",6,3179,0,58
"257223","2020-07-03",1,3180,0,58
"257224","2020-07-04",5,3185,0,58
"257225","2020-07-05",5,3190,0,58
"257226","2020-07-06",5,3195,0,58
"257227","2020-07-07",0,3195,0,58
"257228","2020-07-08",2,3197,0,58
"257229","2020-07-09",5,3202,0,58
"257230","2020-07-10",0,3202,0,58
"257231","2020-07-11",14,3216,0,58
"257232","2020-07-12",1,3217,0,58
"257233","2020-07-13",3,3220,0,58
"257234","2020-07-14",7,3227,0,58
"257235","2020-07-15",5,3232,0,58
"257236","2020-07-16",4,3236,0,58
"257237","2020-07-17",3,3239,0,58
"257238","2020-07-18",7,3246,0,58
"257239","2020-07-19",3,3249,0,58
"257240","2020-07-20",1,3250,0,58
"257241","2020-07-21",5,3255,0,58
"257242","2020-07-22",6,3261,0,58
"257243","2020-07-23",8,3269,0,58
"257244","2020-07-24",10,3279,0,58
"257245","2020-07-25",3,3282,0,58
"257246","2020-07-26",9,3291,0,58
"257247","2020-07-27",4,3295,0,58
"257248","2020-07-28",2,3297,0,58
"257249","2020-07-29",1,3298,0,58
"257250","2020-07-30",6,3304,0,58
"257251","2020-07-31",6,3310,0,58
"257252","2020-08-01",2,3312,0,58
"257253","2020-08-02",5,3317,0,58
"257254","2020-08-03",3,3320,0,58
"257255","2020-08-04",1,3321,0,58
"257256","2020-08-05",7,3328,0,58
"257257","2020-08-06",2,3330,0,58
"257258","2020-08-07",15,3345,0,58
"257259","2020-08-08",3,3348,0,58
"257260","2020-08-09",3,3351,0,58
"257261","2020-08-10",0,3351,0,58
"257262","2020-08-11",0,3351,0,58
"257263","2020-08-12",5,3356,0,58
"257264","2020-08-13",3,3359,0,58
"257265","2020-08-14",17,3376,0,58
"257266","2020-08-15",0,3376,0,58
"257267","2020-08-16",1,3377,0,58
